mean,median,std,var_coeff
126.28571428571429,120.0,58.87476620113319,46.620289978272886
349.42857142857144,406.0,151.6529559475154,43.40027357451381
254.14285714285714,223.0,137.74303197310147,54.199056987729634
195.71428571428572,163.0,77.30397636541579,39.498382084519015
34.142857142857146,32.0,12.157694016939388,35.60830883622415
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.48795003647426666,68.31300510639733
0.7142857142857143,1.0,0.7559289460184544,105.83005244258362
0.14285714285714285,0.0,0.37796447300922725,264.5751311064591
0.2857142857142857,0.0,0.7559289460184545,264.5751311064591
0.2857142857142857,0.0,0.48795003647426655,170.7825127659933
0.14285714285714285,0.0,0.37796447300922725,264.5751311064591
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,1.0,1.1547005383792515,115.47005383792515
1416.5714285714287,1222.0,565.2081790935847,39.89973027082586
