Nome,T1,T2,T3,T4,T5,T1_NAI,T1_NOI,T1_NER,T2_NAI,T2_NOI,T2_NER,T3_NAI,T3_NOI,T3_NER,T4_NAI,T4_NOI,T4_NER,T5_NAI,T5_NOI,T5_NER,AJUDA,TOTAL
JXXXXX,80,209,118,128,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860
CXXXXX,120,406,240,296,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1222
VXXXXX,96,506,109,139,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1158
EXXXXX,158,504,425,247,44,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1785
JXXXXX,122,155,458,283,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565
MXXXXX,67,214,223,114,32,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,881
GXXXXX,241,452,206,163,45,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,3,2445
